user_id,date,weekday,start_time,duration,category,category_id,location_name,location_category,my_place,location_id,place_id
2,7月13日,2,19:30,02:00,shopping,12,大潤發內湖二店,Warehouse store,,7,0
2,7月13日,2,21:30,00:30,Commute,17,,,,0,0
2,7月13日,2,22:00,0,leisure,10,,,home,0,1
2,7月14日,3,00:30,09:30,Sleep,3,,,home,0,1
2,7月14日,3,10:00,02:20,leisure,10,,,home,0,1
2,7月14日,3,12:20,00:40,Commute,17,,,,0,0
2,7月14日,3,13:00,04:00,work,6,,,company,0,2
2,7月14日,3,17:00,00:30,Commute,17,,,,0,0
2,7月14日,3,17:30,00:50,food,1,sukiya,Gyudon restaurant,,5,0
2,7月14日,3,18:20,00:05,commute,17,,,,0,0
2,7月14日,3,18:25,00:20,food,1,聖保羅烘焙花園 大安店,Bakery,,4,0
2,7月14日,3,18:45,03:45,lesson,4,SK2 TOEFL,Cramming school,,9,0
2,7月14日,3,22:30,00:30,commute,17,,,,0,0
2,7月14日,3,23:00,0,leisure,10,,,home,0,1
2,7月15日,4,00:30,08:30,sleep,3,,,home,0,1
2,7月15日,4,09:00,00:25,leisure,10,,,home,0,1
2,7月15日,4,09:25,00:10,commute,17,,,,0,0
2,7月15日,4,09:35,02:25,work,6,,,company,0,2
2,7月15日,4,12:00,00:40,commute,17,,,,0,0
2,7月15日,4,12:40,04:20,work,6,,,company,0,2
2,7月15日,4,17:00,00:40,commute,17,,,,0,0
2,7月15日,4,17:40,03:10,leisure,10,,,home,0,1
2,7月15日,4,20:50,00:20,commute,17,,,,0,0
2,7月15日,4,21:10,01:20,work out,9,world gym,gym,,8,0
2,7月15日,4,22:30,00:05,commute,17,,,,0,0
2,7月15日,4,22:35,00:20,shopping,12,全聯福利中心Pxmart 內湖文湖,Supermarket,,7,0
2,7月15日,4,22:55,00:05,leisure,10,,,home,0,1
2,7月15日,4,23:00,0,leisure,10,,,home,0,1
2,7月16日,5,01:00,08:00,sleep,3,,,home,0,1
2,7月16日,5,09:00,00:20,leisure,10,,,home,0,1
2,7月16日,5,09:20,00:40,commute,17,,,,0,0
2,7月16日,5,10:00,05:00,work,6,,,company,0,2
2,7月16日,5,15:00,00:30,commute,17,,,,0,0
2,7月16日,5,15:30,03:50,meeting,13,,,school,0,3
2,7月16日,5,19:20,01:00,commute,17,,,,0,0
2,7月16日,5,20:20,00:40,food,1,737,Night market,,5,0
2,7月16日,5,21:00,00:10,commute,17,,,,0,0
2,7月16日,5,21:10,00:20,leisure,10,,,home,0,1
2,7月16日,5,21:30,00:10,commute,17,,,,0,0
2,7月16日,5,21:40,01:20,work out,9,world gym,gym,,8,0
2,7月16日,5,23:00,00:10,commute,17,,,,0,0
2,7月16日,5,23:10,0,leisure,10,,,home,0,1
2,7月17日,6,01:00,08:30,sleep,3,,,home,0,1
2,7月17日,6,09:30,00:30,leisure,10,,,home,0,1
2,7月17日,6,10:00,01:00,commute,17,,,,0,0
2,7月17日,6,11:00,00:30,others,18,凱薩大飯店,hotel,,11,0
2,7月17日,6,11:30,00:30,commute,17,,,,0,0
2,7月17日,6,12:00,01:30,food,1,les piccola,restaurant,,5,0
