user_id,weekday,date,start_time,end_date,end_time,duration,category,category_id,location_category,my_place,location_id,gm_id,place_id
3,6,2020-07-10,11:50,2020-07-10,12:30,00:40,food,1,Asian restaurant,,1,5,0
3,6,2020-07-10,12:30,2020-07-10,13:00,00:30,commute,17,,,1,0,0
3,6,2020-07-10,13:00,2020-07-10,17:00,04:00,work,6,,company,1,0,2
3,6,2020-07-10,17:00,2020-07-10,17:30,00:30,commute,17,,,1,0,0
3,6,2020-07-10,17:30,2020-07-10,18:45,01:15,food,1,,,1,0,0
3,6,2020-07-10,18:45,2020-07-10,22:30,03:45,lesson,4,Cramming school,,1,9,0
3,6,2020-07-10,22:30,2020-07-11,00:30,02:00,commute,17,,,1,0,0
3,7,2020-07-11,00:30,2020-07-11,01:30,01:00,leisure,10,,another home,1,0,1
3,7,2020-07-11,01:30,2020-07-11,10:00,08:30,Sleep,3,,another home,1,0,1
3,7,2020-07-11,10:00,2020-07-11,10:30,00:30,leisure,10,,another home,1,0,1
3,7,2020-07-11,10:30,2020-07-11,11:45,01:15,commute,17,,,1,0,0
3,7,2020-07-11,11:45,2020-07-11,15:30,03:45,activities,7,Restaurant,,1,5,0
3,7,2020-07-11,15:30,2020-07-11,16:30,01:00,Commute,17,,,1,0,0
3,7,2020-07-11,16:30,2020-07-11,18:10,01:40,leisure,10,,another home,1,0,1
3,7,2020-07-11,18:10,2020-07-11,18:30,00:20,Commute,17,,,1,0,0
3,7,2020-07-11,18:30,2020-07-11,21:30,03:00,hangout,11,Night market,,1,5,0
3,7,2020-07-11,21:30,2020-07-11,22:00,00:30,Commute,17,,,1,0,0
3,7,2020-07-11,22:00,2020-07-11,23:00,01:00,work,6,Convenience store,,1,21,0
3,7,2020-07-11,23:00,2020-07-12,00:00,01:00,leisure,10,,another home,1,0,1
3,1,2020-07-12,00:00,2020-07-12,01:00,01:00,food,1,Restaurant,,1,5,0
3,1,2020-07-12,01:00,2020-07-12,02:50,01:50,leisure,10,,another home,1,0,1
3,1,2020-07-12,02:50,2020-07-12,11:30,08:40,Sleep,3,,another home,1,0,1
3,1,2020-07-12,11:30,2020-07-12,18:30,07:00,leisure,10,,another home,1,0,1
3,1,2020-07-12,18:30,2020-07-12,21:30,03:00,Commute,17,,,1,0,0
3,1,2020-07-12,21:30,2020-07-13,00:30,03:00,leisure,10,,home,1,0,1
3,2,2020-07-13,00:30,2020-07-13,10:00,09:30,Sleep,3,,home,1,0,1
3,2,2020-07-13,10:00,2020-07-13,12:20,02:20,leisure,10,,home,1,0,1
3,2,2020-07-13,12:20,2020-07-13,13:00,00:40,Commute,17,,,1,0,0
3,2,2020-07-13,13:00,2020-07-13,16:00,03:00,work,6,,company,1,0,2
3,2,2020-07-13,16:00,2020-07-13,16:30,00:30,Commute,17,,,1,0,0
3,2,2020-07-13,16:30,2020-07-13,19:00,02:30,beauty,16,Beauty salon,,1,14,0
3,2,2020-07-13,19:00,2020-07-13,19:30,00:30,Commute,17,,,1,0,0
3,2,2020-07-13,19:30,2020-07-13,21:30,02:00,shopping,12,Warehouse store,,1,6,0
3,2,2020-07-13,21:30,2020-07-13,22:00,00:30,Commute,17,,,1,0,0
3,2,2020-07-13,22:00,2020-07-14,00:30,02:30,leisure,10,,home,1,0,1
3,3,2020-07-14,00:30,2020-07-14,10:00,09:30,Sleep,3,,home,1,0,1
3,3,2020-07-14,10:00,2020-07-14,12:20,02:20,leisure,10,,home,1,0,1
3,3,2020-07-14,12:20,2020-07-14,13:00,00:40,Commute,17,,,1,0,0
3,3,2020-07-14,13:00,2020-07-14,17:00,04:00,work,6,,company,1,0,2
3,3,2020-07-14,17:00,2020-07-14,17:30,00:30,Commute,17,,,1,0,0
3,3,2020-07-14,17:30,2020-07-14,18:20,00:50,food,1,Gyudon restaurant,,1,5,0
3,3,2020-07-14,18:20,2020-07-14,18:25,00:05,commute,17,,,1,0,0
3,3,2020-07-14,18:25,2020-07-14,18:45,00:20,food,1,Bakery,,1,4,0
3,3,2020-07-14,18:45,2020-07-14,22:30,03:45,lesson,4,Cramming school,,1,9,0
3,3,2020-07-14,22:30,2020-07-14,23:00,00:30,commute,17,,,1,0,0
3,3,2020-07-14,23:00,2020-07-15,00:30,01:30,leisure,10,,home,1,0,1
3,4,2020-07-15,00:30,2020-07-15,09:00,08:30,sleep,3,,home,1,0,1
3,4,2020-07-15,09:00,2020-07-15,09:25,00:25,leisure,10,,home,1,0,1
3,4,2020-07-15,09:25,2020-07-15,09:35,00:10,commute,17,,,1,0,0
3,4,2020-07-15,09:35,2020-07-15,12:00,02:25,work,6,,company,1,0,2
3,4,2020-07-15,12:00,2020-07-15,12:40,00:40,commute,17,,,1,0,0
3,4,2020-07-15,12:40,2020-07-15,17:00,04:20,work,6,,company,1,0,2
3,4,2020-07-15,17:00,2020-07-15,17:40,00:40,commute,17,,,1,0,0
3,4,2020-07-15,17:40,2020-07-15,20:50,03:10,leisure,10,,home,1,0,1
3,4,2020-07-15,20:50,2020-07-15,21:10,00:20,commute,17,,,1,0,0
3,4,2020-07-15,21:10,2020-07-15,22:30,01:20,work out,9,gym,,1,8,0
3,4,2020-07-15,22:30,2020-07-15,22:35,00:05,commute,17,,,1,0,0
3,4,2020-07-15,22:35,2020-07-15,22:55,00:20,shopping,12,Supermarket,,1,6,0
3,4,2020-07-15,22:55,2020-07-15,23:00,00:05,leisure,10,,home,1,0,1
3,4,2020-07-15,23:00,2020-07-16,01:00,02:00,leisure,10,,home,1,0,1
3,5,2020-07-16,01:00,2020-07-16,09:00,08:00,sleep,3,,home,1,0,1
3,5,2020-07-16,09:00,2020-07-16,09:20,00:20,leisure,10,,home,1,0,1
3,5,2020-07-16,09:20,2020-07-16,10:00,00:40,commute,17,,,1,0,0
3,5,2020-07-16,10:00,2020-07-16,15:00,05:00,work,6,,company,1,0,2
3,5,2020-07-16,15:00,2020-07-16,15:30,00:30,commute,17,,,1,0,0
3,5,2020-07-16,15:30,2020-07-16,19:20,03:50,meeting,13,,school,1,0,3
3,5,2020-07-16,19:20,2020-07-16,20:20,01:00,commute,17,,,1,0,0
3,5,2020-07-16,20:20,2020-07-16,21:00,00:40,food,1,Night market,,1,5,0
3,5,2020-07-16,21:00,2020-07-16,21:10,00:10,commute,17,,,1,0,0
3,5,2020-07-16,21:10,2020-07-16,21:30,00:20,leisure,10,,home,1,0,1
3,5,2020-07-16,21:30,2020-07-16,21:40,00:10,commute,17,,,1,0,0
3,5,2020-07-16,21:40,2020-07-16,23:00,01:20,work out,9,gym,,1,8,0
3,5,2020-07-16,23:00,2020-07-16,23:10,00:10,commute,17,,,1,0,0
3,5,2020-07-16,23:10,2020-07-17,01:00,01:50,leisure,10,,home,1,0,1
3,6,2020-07-17,01:00,2020-07-17,09:30,08:30,sleep,3,,home,1,0,1
3,6,2020-07-17,09:30,2020-07-17,10:00,00:30,leisure,10,,home,1,0,1
3,6,2020-07-17,10:00,2020-07-17,11:00,01:00,commute,17,,,1,0,0
3,6,2020-07-17,11:00,2020-07-17,11:30,00:30,others,18,hotel,,1,11,0
3,6,2020-07-17,11:30,2020-07-17,12:00,00:30,commute,17,,,1,0,0
3,6,2020-07-17,12:00,2020-07-17,13:30,01:30,food,1,restaurant,,1,5,0
3,6,2020-07-17,13:30,2020-07-17,13:40,00:10,commute,17,,,1,0,0
3,6,2020-07-17,13:40,2020-07-17,14:20,00:40,food,1,Dessert shop,,1,5,0
3,6,2020-07-17,14:20,2020-07-17,14:40,00:20,commute,17,,,1,0,0
3,6,2020-07-17,14:40,2020-07-17,17:40,03:00,shopping,12,Shopping mall,,1,6,0
3,6,2020-07-17,17:40,2020-07-17,18:00,00:20,commute,17,,,1,0,0
3,6,2020-07-17,18:00,2020-07-17,18:35,00:35,food,1,Ice cream and drink shop,,1,10,0
3,6,2020-07-17,18:35,2020-07-17,22:00,03:25,lesson,4,cramming school,,1,9,0
3,6,2020-07-17,22:00,2020-07-17,22:20,00:20,commute,17,,,1,0,0
3,6,2020-07-17,22:20,2020-07-18,01:00,02:40,others,18,hotel,,1,11,0
3,7,2020-07-18,01:00,2020-07-18,10:00,09:00,sleep,3,hotel,,1,11,0
3,7,2020-07-18,10:00,2020-07-18,10:30,00:30,beauty,16,hotel,,1,11,0
3,7,2020-07-18,10:30,2020-07-18,11:00,00:30,commute,17,,,1,0,0
3,7,2020-07-18,11:00,2020-07-18,12:20,01:20,food,1,Cafe,,1,4,0
3,7,2020-07-18,12:20,2020-07-18,17:30,05:10,shopping,12,Shopping mall,,1,6,0
3,7,2020-07-18,17:30,2020-07-18,18:35,01:05,food,1,Italian restaurant,,1,5,0
3,7,2020-07-18,18:35,2020-07-18,19:00,00:25,commute,17,,,1,0,0
3,7,2020-07-18,19:00,2020-07-18,22:00,03:00,shopping,12,Department store,,1,6,0
3,7,2020-07-18,22:00,2020-07-18,22:20,00:20,commute,17,,,1,0,0
3,7,2020-07-18,22:20,2020-07-19,00:30,02:10,others,18,hotel,,1,11,0
3,1,2020-07-19,00:30,2020-07-19,09:50,09:20,sleep,3,hotel,,1,11,0
3,1,2020-07-19,09:50,2020-07-19,10:30,00:40,beauty,16,hotel,,1,11,0
3,1,2020-07-19,10:30,2020-07-19,11:20,00:50,commute,17,,,1,0,0
3,1,2020-07-19,11:20,2020-07-19,12:00,00:40,shopping,12,Department store,,1,6,0
3,1,2020-07-19,12:00,2020-07-19,12:30,00:30,commute,17,,,1,0,0
3,1,2020-07-19,12:30,2020-07-19,14:30,02:00,food,1,Hot pot restaurant,,1,5,0
3,1,2020-07-19,14:30,2020-07-19,14:50,00:20,hangout,11,,,1,0,0
3,1,2020-07-19,14:50,2020-07-19,16:00,01:10,shopping,12,Department store,,1,6,0
3,1,2020-07-19,16:00,2020-07-19,16:20,00:20,commute,17,,,1,0,0
3,1,2020-07-19,16:20,2020-07-19,17:00,00:40,food,1,Cafe,,1,4,0
3,1,2020-07-19,17:00,2020-07-19,17:50,00:50,hangout,11,Train station,,1,12,0
3,1,2020-07-19,17:50,2020-07-19,18:30,00:40,commute,17,,,1,0,0
3,1,2020-07-19,18:30,2020-07-19,21:20,02:50,leisure,10,,home,1,0,1
3,1,2020-07-19,21:20,2020-07-19,23:00,01:40,work out,9,gym,,1,8,0
3,1,2020-07-19,23:00,2020-07-19,23:10,00:10,commute,17,,,1,0,0
3,1,2020-07-19,23:10,2020-07-20,00:40,01:30,leisure,10,,home,1,0,1
3,2,2020-07-20,00:40,2020-07-20,09:10,08:30,sleep,3,,home,1,0,1
3,2,2020-07-20,09:10,2020-07-20,12:10,03:00,leisure,10,,home,1,0,1
3,2,2020-07-20,12:10,2020-07-20,13:00,00:50,commute,17,,,1,0,0
3,2,2020-07-20,13:00,2020-07-20,17:00,04:00,work,6,,company,1,0,2
3,2,2020-07-20,17:00,2020-07-20,17:50,00:50,commute,17,,,1,0,0
3,2,2020-07-20,17:50,2020-07-20,19:00,01:10,leisure,10,,home,1,0,1
3,2,2020-07-20,19:00,2020-07-20,19:30,00:30,commute,17,,,1,0,0
3,2,2020-07-20,19:30,2020-07-20,20:30,01:00,shopping,12,Home goods store,,1,6,0
3,2,2020-07-20,20:30,2020-07-20,21:00,00:30,food,1,Dessert restaurant,,1,5,0
3,2,2020-07-20,21:00,2020-07-20,21:40,00:40,commute,17,,,1,0,0
3,2,2020-07-20,21:40,2020-07-21,00:00,02:20,leisure,10,,home,1,0,1
3,3,2020-07-21,00:00,2020-07-21,09:00,09:00,sleep,3,,home,1,0,1
3,3,2020-07-21,09:00,2020-07-21,12:10,03:10,leisure,10,,home,1,0,1
3,3,2020-07-21,12:10,2020-07-21,13:00,00:50,commute,17,,,1,0,0
3,3,2020-07-21,13:00,2020-07-21,17:00,04:00,work,6,,company,1,0,2
3,3,2020-07-21,17:00,2020-07-21,17:40,00:40,commute,17,,,1,0,0
3,3,2020-07-21,17:40,2020-07-21,18:30,00:50,food,1,Ramen restaurant,,1,5,0
3,3,2020-07-21,18:30,2020-07-21,22:05,03:35,lesson,4,cramming school,,1,9,0
3,3,2020-07-21,22:05,2020-07-21,22:45,00:40,commute,17,,,1,0,0
3,3,2020-07-21,22:45,2020-07-22,01:00,02:15,leisure,10,,home,1,0,1
3,4,2020-07-22,01:00,2020-07-22,09:40,08:40,sleep,3,,home,1,0,1
3,4,2020-07-22,09:40,2020-07-22,12:20,02:40,leisure,10,,home,1,0,1
3,4,2020-07-22,12:20,2020-07-22,13:00,00:40,commute,17,,,1,0,0
3,4,2020-07-22,13:00,2020-07-22,17:00,04:00,work,6,,,1,0,0
3,4,2020-07-22,17:00,2020-07-22,17:50,00:50,commute,17,,,1,0,0
3,4,2020-07-22,17:50,2020-07-22,18:10,00:20,leisure,10,,home,1,0,1
3,4,2020-07-22,18:10,2020-07-22,18:20,00:10,commute,17,,,1,0,0
3,4,2020-07-22,18:20,2020-07-22,18:50,00:30,food,1,Conveyor belt sushi restaurant,,1,5,0
3,4,2020-07-22,18:50,2020-07-22,21:20,02:30,entertainment,8,shopping mall,,1,6,0
3,4,2020-07-22,21:20,2020-07-22,21:30,00:10,commute,17,,,1,0,0
3,4,2020-07-22,21:30,2020-07-22,21:40,00:10,leisure,10,,home,1,0,1
3,4,2020-07-22,21:40,2020-07-22,21:50,00:10,commute,17,,,1,0,0
3,4,2020-07-22,21:50,2020-07-22,22:40,00:50,work out,9,gym,,1,8,0
3,4,2020-07-22,22:40,2020-07-22,22:50,00:10,commute,17,,,1,0,0
3,4,2020-07-22,22:50,2020-07-23,01:00,02:10,leisure,10,,home,1,0,1
3,5,2020-07-23,01:00,2020-07-23,09:00,08:00,sleep,3,,home,1,0,1
3,5,2020-07-23,09:00,2020-07-23,09:20,00:20,leisure,10,,home,1,0,1
3,5,2020-07-23,09:20,2020-07-23,09:30,00:10,commute,17,,,1,0,0
3,5,2020-07-23,09:30,2020-07-23,12:00,02:30,work,6,,company,1,0,2
3,5,2020-07-23,12:00,2020-07-23,12:20,00:20,commute,17,,,1,0,0
3,5,2020-07-23,12:20,2020-07-23,13:20,01:00,leisure,10,,home,1,0,1
3,5,2020-07-23,13:20,2020-07-23,14:00,00:40,commute,17,,,1,0,0
3,5,2020-07-23,14:00,2020-07-23,19:20,05:20,meeting,13,,school,1,0,3
3,5,2020-07-23,19:20,2020-07-23,20:40,01:20,food,1,Thai restaurant,,1,5,0
3,5,2020-07-23,20:40,2020-07-23,21:30,00:50,commute,17,,,1,0,0
3,5,2020-07-23,21:30,2020-07-24,01:00,03:30,leisure,10,,home,1,0,1
3,6,2020-07-24,01:00,2020-07-24,10:00,09:00,sleep,3,,home,1,0,1
3,6,2020-07-24,10:00,2020-07-24,12:20,02:20,leisure,10,,home,1,0,1
3,6,2020-07-24,12:20,2020-07-24,13:00,00:40,commute,17,,,1,0,0
3,6,2020-07-24,13:00,2020-07-24,17:00,04:00,work,6,,company,1,0,2
3,6,2020-07-24,17:00,2020-07-24,17:40,00:40,commute,17,,,1,0,0
3,6,2020-07-24,17:40,2020-07-24,18:30,00:50,food,1,Noodle shop,,1,5,0
3,6,2020-07-24,18:30,2020-07-24,22:10,03:40,lesson,4,Cramming school,,1,9,0
3,6,2020-07-24,22:10,2020-07-24,22:55,00:45,commute,17,,,1,0,0
3,6,2020-07-24,22:55,2020-07-25,02:00,03:05,leisure,10,,home,1,0,1
3,7,2020-07-25,02:00,2020-07-25,09:00,07:00,sleep,3,,home,1,0,1
3,7,2020-07-25,09:00,2020-07-25,09:20,00:20,leisure,10,,home,1,0,1
3,7,2020-07-25,09:20,2020-07-25,10:00,00:40,commute,17,,,1,0,0
3,7,2020-07-25,10:00,2020-07-25,13:00,03:00,hangout,11,Bakery,,1,4,0
3,7,2020-07-25,13:00,2020-07-25,14:30,01:30,food,1,Shopping mall,,1,6,0
3,7,2020-07-25,14:30,2020-07-25,15:30,01:00,commute,17,,,1,0,0
3,7,2020-07-25,15:30,2020-07-26,00:30,09:00,leisure,10,,home,1,0,1
